Serial No.,Movie Title,Release Month,Release Year,Genre,Type,Country of Origin,Language,Duration (minutes),Director,Cast,IMDb Rating,Rotten Tomatoes (%),Box Office Collection (in millions),Liked By (Number of People),Preferred by Generation,Age Suitability,Streaming Platform,Awards Won,Keywords / Tags,Recommendation Score
353,Beyond Horizon 353,June,1993,Crime/Comedy/Drama,Series,Canada,Spanish,183,Hayao Miyazaki,"Chris Evans, Emily Blunt",7.8,66,1778,5207642,Millennials,16+,Prime Video,None,"Action, Fantasy",91
354,Dreamscape 354,January,2010,Fantasy,Movie,USA,Korean,86,Hayao Miyazaki,"Song Kang-ho, Lee Sun-kyun",7.9,72,1629,670127,Gen X,PG,Disney+,Baeksang Nominee,"Comedy, Adventure",97
355,The Last Voyage 355,July,2012,Romance/Drama,Movie,Japan,English,79,Hayao Miyazaki,"Brad Pitt, Margot Robbie",7.8,66,2614,7733547,Millennials,R,HBO Max,Golden Globe,"Fantasy, Romance",77
356,Eternal Shadows 356,July,2005,Thriller/Drama,Movie,Japan,German,166,James Cameron,"Chris Evans, Emily Blunt",6.1,74,751,5729296,Gen Z,PG-13,Prime Video,Golden Globe,"Comedy, Drama",94
357,Shattered Memories 357,March,2011,Fantasy,Series,Germany,German,94,Bong Joon-ho,"Kim Soo-hyun, Kim Ji-won",7.5,61,2329,3020759,Millennials,PG-13,HBO Max,Golden Globe,"Mystery, Sci-Fi",74
358,Beyond Horizon 358,August,2018,Animation,Movie,Japan,Japanese,171,Greta Gerwig,"Ranbir Kapoor, Alia Bhatt",6.6,80,1530,5687979,Gen Z,PG-13,Netflix,Oscar,"Sci-Fi, Thriller",88
359,Fading Stars 359,September,2003,Horror,Series,Japan,English,162,Anurag Kashyap,"Brad Pitt, Margot Robbie",9.1,65,1665,1949110,"Gen Z, Millennials",16+,Netflix,Cannes Winner,"Comedy, Adventure",91
360,Fading Stars 360,April,2007,Action/Adventure,Series,India,Hindi,113,Greta Gerwig,"Tom Hanks, Emma Watson",6.1,71,2653,850538,Gen X,PG,Prime Video,None,"Mystery, Sci-Fi",70
361,Neon Nights 361,April,2001,Crime/Comedy/Drama,Series,France,Hindi,154,Park Chan-wook,"Ranbir Kapoor, Alia Bhatt",9.3,76,809,7406279,"Gen Z, Millennials",16+,Disney+,Oscar,"Drama, Action",75
362,Crimson Dawn 362,October,2024,Thriller/Drama,Movie,USA,English,186,Greta Gerwig,"Henry Cavill, Anya Taylor-Joy",6.9,76,2272,5020065,Gen Z,R,HBO Max,Cannes Winner,"Drama, Action",94
363,Silent Echo 363,March,1992,Mystery,Movie,South Korea,French,185,Christopher Nolan,"Song Kang-ho, Lee Sun-kyun",7.8,74,2618,9720325,Gen X,PG,Hulu,Baeksang Nominee,"Romance, Fantasy",86
364,Beyond Horizon 364,January,2008,Mystery,Movie,France,English,101,Greta Gerwig,"Leonardo DiCaprio, Kate Winslet",7.9,73,925,7168517,Millennials,16+,Disney+,K-Drama Awards,"Adventure, Comedy",76
365,The Last Voyage 365,August,2006,Horror,Movie,Japan,German,131,Hayao Miyazaki,"Henry Cavill, Anya Taylor-Joy",7.2,89,1185,2037922,Gen X,PG,Disney+,Baeksang Nominee,"Adventure, Comedy",71
366,Crimson Dawn 366,November,2016,Horror,Series,UK,French,168,Anurag Kashyap,"Brad Pitt, Margot Robbie",7.3,51,1881,6678228,Gen Z,PG-13,Prime Video,Oscar,"Fantasy, Romance",74
367,Fading Stars 367,December,1992,Mystery,Movie,Germany,English,106,Anurag Kashyap,"Kim Soo-hyun, Kim Ji-won",6.3,56,1627,6467099,"Gen Z, Millennials",PG-13,Hulu,None,"Thriller, Fantasy",80
368,Fading Stars 368,March,1990,Thriller/Drama,Series,USA,Korean,161,Guillermo del Toro,"Song Kang-ho, Lee Sun-kyun",6.1,82,1299,8319949,"Gen Z, Millennials",PG,Hulu,None,"Comedy, Drama",80
369,Dreamscape 369,August,1998,Horror,Movie,India,Spanish,80,Anurag Kashyap,"Tom Hanks, Emma Watson",6.8,76,2867,239070,Millennials,PG,Prime Video,Cannes Winner,"Mystery, Comedy",99
370,Silent Echo 370,September,2018,Horror,Series,South Korea,Spanish,139,Guillermo del Toro,"Tom Hanks, Emma Watson",7.6,91,629,6084775,Millennials,PG-13,Netflix,K-Drama Awards,"Comedy, Tragedy",78
371,The Last Voyage 371,June,2001,Crime/Comedy/Drama,Movie,South Korea,Spanish,94,Bong Joon-ho,"Chris Evans, Emily Blunt",9.4,68,503,3179925,"Gen Z, Millennials",PG,Netflix,Cannes Winner,"Mystery, Tragedy",77
372,Neon Nights 372,May,2024,Mystery,Series,Canada,Spanish,170,Sofia Coppola,"Kim Soo-hyun, Kim Ji-won",6.9,72,1806,9675248,"Gen Z, Millennials",16+,Hulu,None,"Comedy, Fantasy",97
373,Beyond Horizon 373,May,1994,Documentary,Movie,Japan,Korean,115,Bong Joon-ho,"Ranbir Kapoor, Alia Bhatt",8.9,67,1045,7075017,Gen X,PG,HBO Max,Golden Globe,"Fantasy, Adventure",97
374,Beyond Horizon 374,February,2004,Fantasy,Series,Germany,Korean,70,Park Chan-wook,"Leonardo DiCaprio, Kate Winslet",6.1,77,2495,7172862,Millennials,18+,Netflix,Oscar,"Tragedy, Drama",81
375,Silent Echo 375,October,2001,Crime/Comedy/Drama,Series,UK,Hindi,118,David Fincher,"Brad Pitt, Margot Robbie",8.5,63,1870,1080459,Gen Z,18+,Netflix,Baeksang Nominee,"Fantasy, Action",81
376,Crimson Dawn 376,July,1992,Action/Adventure,Movie,Japan,Hindi,159,James Cameron,"Scarlett Johansson, Adam Driver",8.3,65,1669,6753160,"Gen Z, Millennials",18+,Prime Video,Oscar,"Sci-Fi, Mystery",72
377,Crimson Dawn 377,October,1998,Thriller/Drama,Series,South Korea,English,96,Greta Gerwig,"Robert Pattinson, Zoë Kravitz",6.5,82,2528,6893261,Millennials,R,Hulu,Golden Globe,"Thriller, Mystery",92
378,Fading Stars 378,January,1996,Fantasy,Movie,USA,Hindi,197,David Fincher,"Leonardo DiCaprio, Kate Winslet",9.3,65,696,8890434,"Gen Z, Millennials",PG-13,HBO Max,Baeksang Nominee,"Comedy, Action",75
379,Silent Echo 379,May,1993,Animation,Series,Japan,English,199,David Fincher,"Brad Pitt, Margot Robbie",9.2,62,2442,1215294,"Gen Z, Millennials",R,Hulu,Oscar,"Thriller, Drama",91
380,Shattered Memories 380,December,2023,Action/Adventure,Series,France,Japanese,200,Greta Gerwig,"Brad Pitt, Margot Robbie",7.5,51,1163,4147324,Millennials,PG-13,Hulu,Golden Globe,"Adventure, Fantasy",74
381,Neon Nights 381,July,2014,Thriller/Drama,Movie,South Korea,Spanish,120,Guillermo del Toro,"Brad Pitt, Margot Robbie",9,71,2683,3808607,"Gen Z, Millennials",PG,Disney+,Cannes Winner,"Drama, Comedy",74
382,The Last Voyage 382,March,2020,Romance/Drama,Series,India,German,127,James Cameron,"Robert Pattinson, Zoë Kravitz",7.5,63,1983,4244253,Millennials,18+,HBO Max,Baeksang Nominee,"Fantasy, Mystery",88
383,Silent Echo 383,February,1997,Action/Adventure,Movie,South Korea,Korean,187,David Fincher,"Leonardo DiCaprio, Kate Winslet",8,59,141,7336336,Gen Z,PG-13,Hulu,Golden Globe,"Fantasy, Adventure",80
384,Shattered Memories 384,April,2019,Sci-Fi/Thriller,Series,India,Hindi,153,Christopher Nolan,"Robert Pattinson, Zoë Kravitz",6.2,98,2193,3636812,Gen Z,PG-13,Netflix,Baeksang Nominee,"Action, Mystery",96
385,Hidden Truths 385,July,2003,Documentary,Series,UK,German,144,Anurag Kashyap,"Kim Soo-hyun, Kim Ji-won",8.8,85,416,288126,Millennials,PG-13,Hulu,Golden Globe,"Mystery, Drama",73
386,Crimson Dawn 386,April,1998,Romance/Drama,Movie,India,Spanish,182,Anurag Kashyap,"Brad Pitt, Margot Robbie",6,62,1681,1628286,"Gen Z, Millennials",R,Disney+,Baeksang Nominee,"Fantasy, Adventure",99
387,Beyond Horizon 387,June,2013,Romance/Drama,Series,India,Japanese,170,Park Chan-wook,"Kim Soo-hyun, Kim Ji-won",8.4,89,2444,7059875,Millennials,R,HBO Max,Golden Globe,"Tragedy, Mystery",83
388,Hidden Truths 388,October,1995,Sci-Fi/Thriller,Series,Germany,Korean,122,Hayao Miyazaki,"Robert Pattinson, Zoë Kravitz",9.3,69,911,5145686,Gen Z,16+,Disney+,Oscar,"Sci-Fi, Thriller",74
389,Crimson Dawn 389,June,2003,Action/Adventure,Series,Japan,French,122,Christopher Nolan,"Leonardo DiCaprio, Kate Winslet",7.7,65,439,7040836,"Gen Z, Millennials",PG-13,HBO Max,Oscar,"Action, Drama",80
390,Silent Echo 390,March,1992,Mystery,Series,Japan,Spanish,80,Guillermo del Toro,"Leonardo DiCaprio, Kate Winslet",8.6,97,2773,5453488,Millennials,16+,Disney+,None,"Tragedy, Romance",77
391,Hidden Truths 391,September,2023,Thriller/Drama,Movie,India,Korean,172,Anurag Kashyap,"Kim Soo-hyun, Kim Ji-won",8.2,67,1928,2644649,Millennials,PG,HBO Max,Golden Globe,"Drama, Romance",70
392,Neon Nights 392,February,2022,Animation,Series,UK,German,183,Park Chan-wook,"Scarlett Johansson, Adam Driver",7.7,89,183,4604880,Gen Z,PG,HBO Max,None,"Romance, Sci-Fi",99
393,Fading Stars 393,February,1995,Crime/Comedy/Drama,Movie,Germany,Hindi,122,David Fincher,"Leonardo DiCaprio, Kate Winslet",8.3,67,1742,1291934,Millennials,18+,Disney+,Oscar,"Drama, Tragedy",89
394,Crimson Dawn 394,February,2002,Documentary,Movie,Germany,English,79,James Cameron,"Ranbir Kapoor, Alia Bhatt",8,82,2580,8326496,Gen X,PG,Prime Video,Baeksang Nominee,"Comedy, Mystery",96
395,Beyond Horizon 395,March,2004,Animation,Series,Canada,French,174,Bong Joon-ho,"Ranbir Kapoor, Alia Bhatt",7.5,68,2570,5435680,Gen X,18+,HBO Max,None,"Romance, Thriller",71
396,Eternal Shadows 396,September,2011,Animation,Movie,Japan,Hindi,149,Sofia Coppola,"Robert Pattinson, Zoë Kravitz",9.2,55,2054,2337861,Gen Z,16+,Prime Video,Golden Globe,"Adventure, Action",100
397,Neon Nights 397,July,2013,Thriller/Drama,Movie,France,Hindi,120,Guillermo del Toro,"Leonardo DiCaprio, Kate Winslet",8.1,87,2622,3658757,Gen Z,PG,Netflix,Golden Globe,"Adventure, Sci-Fi",78
398,Dreamscape 398,August,1998,Thriller/Drama,Series,Germany,Korean,112,James Cameron,"Ranbir Kapoor, Alia Bhatt",8.3,66,736,4761021,"Gen Z, Millennials",18+,HBO Max,Baeksang Nominee,"Comedy, Tragedy",95
399,Beyond Horizon 399,July,2013,Horror,Series,South Korea,German,170,David Fincher,"Scarlett Johansson, Adam Driver",8,78,1297,4777324,Gen Z,PG,Netflix,Baeksang Nominee,"Action, Thriller",85
400,Fading Stars 400,May,2016,Documentary,Series,South Korea,German,173,David Fincher,"Robert Pattinson, Zoë Kravitz",7.8,100,1760,9218099,Millennials,18+,HBO Max,Golden Globe,"Comedy, Fantasy",84
401,Silent Echo 401,April,2019,Crime/Comedy/Drama,Movie,Germany,French,79,James Cameron,"Chris Evans, Emily Blunt",7.8,69,2403,1976422,"Gen Z, Millennials",PG-13,HBO Max,K-Drama Awards,"Action, Tragedy",92
402,Crimson Dawn 402,February,2016,Action/Adventure,Movie,USA,French,168,Guillermo del Toro,"Robert Pattinson, Zoë Kravitz",7,93,2870,9428287,Gen X,R,HBO Max,Oscar,"Mystery, Sci-Fi",76
403,Dreamscape 403,August,1994,Horror,Movie,Japan,Korean,129,Christopher Nolan,"Song Kang-ho, Lee Sun-kyun",7.4,98,261,6459300,Gen Z,16+,Hulu,Oscar,"Romance, Drama",80
404,Eternal Shadows 404,September,2021,Horror,Movie,Canada,Japanese,109,Christopher Nolan,"Ranbir Kapoor, Alia Bhatt",9.4,99,749,9772401,Millennials,PG-13,HBO Max,Oscar,"Mystery, Fantasy",95
405,Beyond Horizon 405,September,1991,Sci-Fi/Thriller,Movie,USA,Korean,84,Sofia Coppola,"Chris Evans, Emily Blunt",8.6,80,1419,7885065,Millennials,16+,Disney+,K-Drama Awards,"Comedy, Thriller",82
406,Dreamscape 406,April,2006,Mystery,Movie,USA,German,127,Greta Gerwig,"Scarlett Johansson, Adam Driver",7.7,82,1099,5269839,Millennials,R,Disney+,Baeksang Nominee,"Mystery, Action",96
407,Silent Echo 407,July,2019,Romance/Drama,Series,France,Japanese,152,Bong Joon-ho,"Scarlett Johansson, Adam Driver",7.3,86,2152,5374972,Gen X,PG,Netflix,Baeksang Nominee,"Mystery, Fantasy",100
408,Dreamscape 408,November,2021,Sci-Fi/Thriller,Movie,France,Japanese,86,Park Chan-wook,"Brad Pitt, Margot Robbie",6.8,91,536,9375815,Millennials,PG-13,Netflix,Oscar,"Tragedy, Action",91
409,Neon Nights 409,August,2013,Action/Adventure,Movie,France,German,132,David Fincher,"Leonardo DiCaprio, Kate Winslet",9.2,60,1037,6458182,Millennials,18+,Netflix,Oscar,"Drama, Sci-Fi",75
410,Eternal Shadows 410,January,2014,Sci-Fi/Thriller,Series,Japan,English,194,Anurag Kashyap,"Scarlett Johansson, Adam Driver",6.2,77,949,8549415,"Gen Z, Millennials",16+,Prime Video,K-Drama Awards,"Sci-Fi, Tragedy",80
411,The Last Voyage 411,May,2000,Animation,Series,UK,Korean,74,Guillermo del Toro,"Brad Pitt, Margot Robbie",7.8,95,2609,4363009,Gen X,18+,Disney+,Golden Globe,"Action, Fantasy",85
412,Crimson Dawn 412,February,2009,Crime/Comedy/Drama,Series,Canada,German,160,Anurag Kashyap,"Ranbir Kapoor, Alia Bhatt",6.1,61,228,589772,Millennials,18+,Disney+,Oscar,"Comedy, Tragedy",85
413,Eternal Shadows 413,March,2001,Animation,Series,Germany,English,182,Park Chan-wook,"Tom Hanks, Emma Watson",8.6,86,2277,2892275,Gen X,PG-13,Hulu,None,"Action, Sci-Fi",73
414,Beyond Horizon 414,February,1996,Sci-Fi/Thriller,Series,South Korea,French,180,Sofia Coppola,"Tom Hanks, Emma Watson",6.2,55,2761,6725825,"Gen Z, Millennials",16+,Disney+,Baeksang Nominee,"Thriller, Adventure",99
415,Shattered Memories 415,July,1993,Fantasy,Movie,India,Spanish,76,Christopher Nolan,"Tom Hanks, Emma Watson",6.9,63,2276,9255841,Gen Z,R,HBO Max,K-Drama Awards,"Fantasy, Adventure",90
416,Dreamscape 416,November,2014,Horror,Series,India,Hindi,84,Park Chan-wook,"Song Kang-ho, Lee Sun-kyun",7.2,96,564,2492653,Millennials,18+,Hulu,Baeksang Nominee,"Comedy, Fantasy",73
417,Shattered Memories 417,June,2002,Mystery,Movie,Canada,German,165,Greta Gerwig,"Chris Evans, Emily Blunt",8.6,91,1885,7263659,Gen Z,18+,Netflix,None,"Sci-Fi, Adventure",74
418,Hidden Truths 418,June,2005,Thriller/Drama,Movie,USA,Japanese,134,James Cameron,"Chris Evans, Emily Blunt",8.1,56,980,3234371,Gen Z,16+,Disney+,Golden Globe,"Adventure, Drama",70
419,Crimson Dawn 419,February,2008,Animation,Series,Canada,English,158,Guillermo del Toro,"Ranbir Kapoor, Alia Bhatt",7.5,83,513,6466530,Gen X,16+,Disney+,Oscar,"Comedy, Drama",76
420,Neon Nights 420,October,2009,Crime/Comedy/Drama,Movie,USA,French,78,Christopher Nolan,"Chris Evans, Emily Blunt",7,98,995,5512199,Gen Z,PG-13,Disney+,Golden Globe,"Drama, Thriller",77
421,Hidden Truths 421,January,2023,Mystery,Movie,Japan,Korean,179,David Fincher,"Scarlett Johansson, Adam Driver",7.3,88,186,2092814,Gen Z,16+,HBO Max,K-Drama Awards,"Action, Romance",95
422,Fading Stars 422,November,2001,Documentary,Series,Japan,German,173,James Cameron,"Kim Soo-hyun, Kim Ji-won",7.9,99,134,4042865,Millennials,PG,Prime Video,None,"Romance, Thriller",74
423,Crimson Dawn 423,May,2012,Romance/Drama,Movie,South Korea,French,195,James Cameron,"Brad Pitt, Margot Robbie",7.7,64,189,6501123,Gen X,R,Hulu,Cannes Winner,"Adventure, Action",71
424,Hidden Truths 424,April,2010,Animation,Series,South Korea,Japanese,87,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",8.2,92,2041,8433994,"Gen Z, Millennials",PG-13,Disney+,K-Drama Awards,"Adventure, Mystery",75
425,Beyond Horizon 425,October,2025,Documentary,Movie,Canada,Spanish,161,Park Chan-wook,"Kim Soo-hyun, Kim Ji-won",6.6,86,2664,8889426,"Gen Z, Millennials",18+,Prime Video,Cannes Winner,"Romance, Mystery",79
426,Beyond Horizon 426,June,2014,Thriller/Drama,Series,UK,Korean,164,Bong Joon-ho,"Brad Pitt, Margot Robbie",9.1,75,2675,7212632,Millennials,18+,Netflix,Golden Globe,"Action, Comedy",79
427,Dreamscape 427,April,2010,Animation,Series,India,English,179,Hayao Miyazaki,"Brad Pitt, Margot Robbie",6.9,90,874,762597,"Gen Z, Millennials",18+,HBO Max,Golden Globe,"Sci-Fi, Comedy",82
428,Silent Echo 428,June,2000,Animation,Movie,France,Spanish,165,Park Chan-wook,"Henry Cavill, Anya Taylor-Joy",6.4,70,950,1922137,Gen Z,16+,Hulu,K-Drama Awards,"Comedy, Adventure",76
429,Dreamscape 429,February,1994,Fantasy,Movie,South Korea,English,86,Hayao Miyazaki,"Kim Soo-hyun, Kim Ji-won",8.9,89,1747,7959699,Gen Z,18+,Netflix,Baeksang Nominee,"Comedy, Drama",87
430,Dreamscape 430,July,2004,Sci-Fi/Thriller,Movie,Japan,Japanese,105,Anurag Kashyap,"Brad Pitt, Margot Robbie",7,50,2656,1038155,"Gen Z, Millennials",R,Disney+,Golden Globe,"Comedy, Fantasy",81
431,Eternal Shadows 431,August,2025,Fantasy,Movie,USA,German,87,James Cameron,"Leonardo DiCaprio, Kate Winslet",8.3,93,2029,5223528,"Gen Z, Millennials",18+,HBO Max,Baeksang Nominee,"Fantasy, Adventure",93
432,Neon Nights 432,August,2000,Horror,Series,India,German,131,Hayao Miyazaki,"Kim Soo-hyun, Kim Ji-won",6.3,86,1270,1390295,Gen X,PG-13,Hulu,None,"Tragedy, Adventure",82
433,Crimson Dawn 433,June,2009,Mystery,Series,USA,Korean,135,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun",8.8,80,58,1098876,"Gen Z, Millennials",PG,Netflix,None,"Adventure, Tragedy",98
434,Shattered Memories 434,January,2016,Fantasy,Movie,France,Hindi,182,Sofia Coppola,"Henry Cavill, Anya Taylor-Joy",8.3,85,2568,5680425,Gen X,PG-13,Netflix,Oscar,"Sci-Fi, Adventure",72
435,Silent Echo 435,September,2024,Fantasy,Series,South Korea,Hindi,192,Guillermo del Toro,"Robert Pattinson, Zoë Kravitz",7.8,87,954,7637289,Gen Z,PG-13,Hulu,None,"Fantasy, Sci-Fi",88
436,Beyond Horizon 436,November,2023,Horror,Series,USA,German,192,Anurag Kashyap,"Kim Soo-hyun, Kim Ji-won",8.5,69,1250,3193572,Gen X,R,Disney+,Oscar,"Mystery, Action",78
437,Eternal Shadows 437,January,2006,Horror,Movie,South Korea,Spanish,184,Sofia Coppola,"Robert Pattinson, Zoë Kravitz",7.9,82,1358,2267961,"Gen Z, Millennials",16+,Prime Video,Baeksang Nominee,"Action, Tragedy",91
438,Crimson Dawn 438,January,2007,Animation,Movie,USA,French,104,Guillermo del Toro,"Henry Cavill, Anya Taylor-Joy",6.2,66,212,6180604,"Gen Z, Millennials",PG,HBO Max,Oscar,"Adventure, Tragedy",87
439,Dreamscape 439,May,2023,Fantasy,Series,USA,Spanish,113,Greta Gerwig,"Song Kang-ho, Lee Sun-kyun",7.5,71,1022,4696454,"Gen Z, Millennials",18+,Netflix,K-Drama Awards,"Mystery, Fantasy",85
440,Eternal Shadows 440,January,2002,Horror,Movie,Japan,German,118,Hayao Miyazaki,"Song Kang-ho, Lee Sun-kyun",8.9,88,1866,3397021,Millennials,16+,Prime Video,Cannes Winner,"Sci-Fi, Romance",74
441,Crimson Dawn 441,June,1999,Horror,Movie,India,Hindi,173,Greta Gerwig,"Scarlett Johansson, Adam Driver",8.2,60,1720,6475813,Millennials,PG-13,Netflix,Golden Globe,"Fantasy, Sci-Fi",99
442,Neon Nights 442,May,2021,Crime/Comedy/Drama,Movie,Japan,German,158,Greta Gerwig,"Scarlett Johansson, Adam Driver",7.3,76,2832,7353316,"Gen Z, Millennials",PG-13,Hulu,Oscar,"Fantasy, Mystery",84
443,Fading Stars 443,December,1999,Action/Adventure,Series,India,English,120,Christopher Nolan,"Ranbir Kapoor, Alia Bhatt",9,62,1298,3721365,Gen Z,PG-13,Hulu,Cannes Winner,"Sci-Fi, Mystery",72
444,Eternal Shadows 444,February,2004,Sci-Fi/Thriller,Movie,UK,Hindi,113,Guillermo del Toro,"Ranbir Kapoor, Alia Bhatt",9.4,73,2163,6774720,Gen X,PG,Hulu,Cannes Winner,"Action, Drama",89
445,Neon Nights 445,January,1999,Horror,Movie,France,English,77,Bong Joon-ho,"Tom Hanks, Emma Watson",7.8,91,2905,5251708,Gen X,18+,HBO Max,Golden Globe,"Comedy, Drama",96
446,Crimson Dawn 446,November,2019,Action/Adventure,Movie,France,English,125,David Fincher,"Tom Hanks, Emma Watson",8.6,93,50,2677724,Millennials,PG-13,Disney+,Baeksang Nominee,"Romance, Tragedy",85
447,Neon Nights 447,February,2001,Crime/Comedy/Drama,Movie,South Korea,English,185,Christopher Nolan,"Scarlett Johansson, Adam Driver",9.4,94,2061,4925937,"Gen Z, Millennials",16+,HBO Max,Oscar,"Fantasy, Mystery",71
448,The Last Voyage 448,February,2014,Crime/Comedy/Drama,Movie,France,Hindi,161,Guillermo del Toro,"Leonardo DiCaprio, Kate Winslet",9.2,98,1932,9812543,Millennials,18+,HBO Max,Baeksang Nominee,"Fantasy, Adventure",72
449,The Last Voyage 449,January,2001,Horror,Series,Germany,Japanese,117,Bong Joon-ho,"Ranbir Kapoor, Alia Bhatt",7.9,92,2648,2858565,Gen X,16+,Prime Video,K-Drama Awards,"Fantasy, Drama",75
450,Silent Echo 450,November,1991,Action/Adventure,Series,France,French,144,Anurag Kashyap,"Brad Pitt, Margot Robbie",9.3,95,460,6220295,"Gen Z, Millennials",16+,HBO Max,K-Drama Awards,"Action, Romance",96
451,Fading Stars 451,December,2009,Crime/Comedy/Drama,Movie,Japan,Spanish,71,Greta Gerwig,"Chris Evans, Emily Blunt",8,84,1958,7245910,"Gen Z, Millennials",R,Disney+,Cannes Winner,"Tragedy, Adventure",92
452,Dreamscape 452,March,2009,Horror,Series,France,German,120,Christopher Nolan,"Chris Evans, Emily Blunt",8.6,53,508,4313390,Gen Z,R,Netflix,Golden Globe,"Adventure, Thriller",78
453,Hidden Truths 453,November,2010,Animation,Series,Japan,English,128,Greta Gerwig,"Henry Cavill, Anya Taylor-Joy",8.5,69,2905,3926377,Gen Z,PG-13,Netflix,Baeksang Nominee,"Tragedy, Comedy",98
454,Crimson Dawn 454,December,1992,Crime/Comedy/Drama,Series,South Korea,German,110,Sofia Coppola,"Ranbir Kapoor, Alia Bhatt",6.4,91,1672,8097395,"Gen Z, Millennials",PG-13,HBO Max,K-Drama Awards,"Action, Tragedy",91
455,Fading Stars 455,August,2019,Sci-Fi/Thriller,Movie,USA,German,81,Hayao Miyazaki,"Song Kang-ho, Lee Sun-kyun",7.5,99,913,8903840,"Gen Z, Millennials",PG-13,Disney+,Oscar,"Action, Drama",100
456,Beyond Horizon 456,August,2018,Fantasy,Movie,USA,Hindi,179,Sofia Coppola,"Kim Soo-hyun, Kim Ji-won",6.9,94,2352,2553855,"Gen Z, Millennials",R,HBO Max,Baeksang Nominee,"Drama, Action",99
457,Neon Nights 457,April,2010,Sci-Fi/Thriller,Movie,France,Spanish,158,David Fincher,"Tom Hanks, Emma Watson",8.2,98,2276,890142,Gen Z,PG,Netflix,K-Drama Awards,"Adventure, Thriller",95
458,Eternal Shadows 458,June,2009,Romance/Drama,Movie,USA,Japanese,141,David Fincher,"Ranbir Kapoor, Alia Bhatt",6.4,95,1550,206170,Gen Z,16+,Netflix,Oscar,"Mystery, Comedy",96
459,Dreamscape 459,June,2004,Documentary,Movie,South Korea,German,136,Christopher Nolan,"Henry Cavill, Anya Taylor-Joy",8,91,230,3631769,"Gen Z, Millennials",PG,HBO Max,K-Drama Awards,"Sci-Fi, Action",95
460,Hidden Truths 460,January,2006,Sci-Fi/Thriller,Series,UK,English,106,Hayao Miyazaki,"Tom Hanks, Emma Watson",6.1,68,322,8161644,Gen Z,PG-13,Netflix,Golden Globe,"Adventure, Fantasy",78
461,The Last Voyage 461,August,2017,Action/Adventure,Movie,India,Hindi,182,Sofia Coppola,"Tom Hanks, Emma Watson",9.2,54,1279,4510776,Gen Z,R,Hulu,Baeksang Nominee,"Tragedy, Comedy",93
462,Fading Stars 462,August,2016,Thriller/Drama,Series,USA,Korean,155,Christopher Nolan,"Leonardo DiCaprio, Kate Winslet",8.7,51,676,7499885,Millennials,PG-13,Disney+,Cannes Winner,"Adventure, Action",93
463,Crimson Dawn 463,February,2007,Mystery,Movie,India,German,180,Anurag Kashyap,"Song Kang-ho, Lee Sun-kyun",7.7,87,1178,5909148,Gen Z,16+,Disney+,Cannes Winner,"Drama, Adventure",87
464,Eternal Shadows 464,July,2025,Crime/Comedy/Drama,Movie,Canada,Korean,162,James Cameron,"Ranbir Kapoor, Alia Bhatt",6.9,92,1027,3824878,Gen Z,R,Hulu,Golden Globe,"Romance, Fantasy",82
465,Beyond Horizon 465,May,1997,Action/Adventure,Movie,India,Spanish,110,Christopher Nolan,"Ranbir Kapoor, Alia Bhatt",6,80,944,5792948,Gen Z,PG-13,Disney+,K-Drama Awards,"Action, Adventure",98
466,Eternal Shadows 466,June,1999,Sci-Fi/Thriller,Movie,USA,English,168,James Cameron,"Chris Evans, Emily Blunt",9.4,70,2311,1449435,Gen Z,PG,Disney+,Baeksang Nominee,"Fantasy, Mystery",90
467,Dreamscape 467,March,2012,Documentary,Series,Germany,Spanish,173,Bong Joon-ho,"Tom Hanks, Emma Watson",9.2,94,2202,7224929,Gen Z,18+,Hulu,Cannes Winner,"Action, Comedy",92
468,The Last Voyage 468,September,2021,Sci-Fi/Thriller,Movie,USA,French,78,Hayao Miyazaki,"Brad Pitt, Margot Robbie",7.7,55,2624,8752116,"Gen Z, Millennials",18+,Hulu,Oscar,"Tragedy, Romance",82
469,Crimson Dawn 469,June,2017,Fantasy,Movie,India,Spanish,93,Christopher Nolan,"Leonardo DiCaprio, Kate Winslet",8,94,1190,433439,"Gen Z, Millennials",R,Disney+,Baeksang Nominee,"Tragedy, Action",74
470,Neon Nights 470,June,2014,Horror,Movie,Canada,Hindi,110,James Cameron,"Song Kang-ho, Lee Sun-kyun",9.4,83,2969,7163603,Gen X,16+,HBO Max,K-Drama Awards,"Romance, Sci-Fi",84
471,Beyond Horizon 471,May,1999,Horror,Series,India,English,99,Park Chan-wook,"Tom Hanks, Emma Watson",7.2,100,1081,5815101,"Gen Z, Millennials",18+,Hulu,Golden Globe,"Fantasy, Adventure",74
472,Beyond Horizon 472,May,2003,Horror,Series,Canada,English,159,Sofia Coppola,"Chris Evans, Emily Blunt",7.2,57,870,6007239,Gen Z,16+,Disney+,Baeksang Nominee,"Action, Sci-Fi",70
473,Eternal Shadows 473,November,1992,Romance/Drama,Series,India,Hindi,110,Park Chan-wook,"Brad Pitt, Margot Robbie",6.1,67,525,6777104,Millennials,R,Disney+,None,"Adventure, Tragedy",91
474,Beyond Horizon 474,June,2011,Fantasy,Series,India,Spanish,98,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",7.3,94,1793,7533237,Millennials,R,Netflix,Baeksang Nominee,"Comedy, Action",76
